N,depth,density,distance
545,7,0.0,25
546,7,0.0,50
547,7,0.0,10
548,7,0.0,28
549,7,0.0,66
550,7,0.0,41
551,7,0.0,33
552,7,0.0,19
553,7,0.0,24
554,7,0.0,63
555,7,0.0,31
556,7,0.0,34
557,7,0.0,76
558,7,0.0,47
559,7,0.0,47
560,7,0.0,7
561,7,0.0,57
562,7,0.0,38
563,7,0.0,56
564,7,0.0,37
565,7,0.0,13
566,7,0.0,27
567,7,0.0,24
568,7,0.0,64
569,7,0.0,50
570,7,0.0,36
571,7,0.0,25
572,7,0.0,41
573,7,0.0,76
574,7,0.0,5
575,7,0.0,35
576,7,0.0,48
577,7,0.0,66
578,7,0.0,36
579,7,0.0,54
580,7,0.0,28
581,7,0.0,48
582,7,0.0,17
583,7,0.0,87
584,7,0.0,19
585,7,0.0,26
586,7,0.0,74
587,7,0.0,25
588,7,0.0,34
589,7,0.0,66
590,7,0.0,29
591,7,0.0,56
592,7,0.0,88
593,7,0.0,40
594,7,0.0,17
595,7,0.0,73
596,7,0.0,68
597,7,0.0,79
598,7,0.0,60
599,7,0.0,57
600,7,0.0,43
601,7,0.0,12
602,7,0.0,18
603,7,0.0,35
604,7,0.0,59
605,7,0.0,45
606,7,0.0,30
607,7,0.0,20
608,7,0.0,61
609,7,0.0,4
610,7,0.0,54
611,7,0.0,35
612,7,0.0,64
613,7,0.0,55
614,7,0.0,3
615,7,0.0,24
616,7,0.0,47
617,7,0.0,101
618,7,0.0,32
619,7,0.0,90
620,7,0.0,67
621,7,0.0,14
622,7,0.0,59
623,7,0.0,38
624,7,0.0,6
625,7,0.0,7
626,7,0.0,5
627,7,0.0,43
628,7,0.0,32
629,7,0.0,30
630,7,0.0,23
631,7,0.0,57
632,7,0.0,29
633,7,0.0,60
634,7,0.0,48
635,7,0.0,43
636,7,0.0,41
637,7,0.0,58
638,7,0.0,54
639,7,0.0,28
640,7,0.0,16
641,7,0.0,12
642,7,0.0,55
643,7,0.0,27
644,7,0.0,40
645,7,0.0,36
646,7,0.0,40
647,7,0.0,53
648,7,0.0,95
649,7,0.0,31
650,7,0.0,46
651,7,0.0,31
652,7,0.0,60
653,7,0.0,29
654,7,0.0,56
655,7,0.0,50
656,7,0.0,58
657,7,0.0,10
658,7,0.0,45
659,7,0.0,25
660,7,0.0,13
661,7,0.0,44
662,7,0.0,35
663,7,0.0,73
664,7,0.0,37
665,7,0.0,60
666,7,0.0,24
667,7,0.0,15
668,7,0.0,66
669,7,0.0,20
670,7,0.0,31
671,7,0.0,62
672,7,0.0,20
673,7,0.0,16
674,7,0.0,33
675,7,0.0,39
676,7,0.0,43
677,7,0.0,70
678,7,0.0,53
679,7,0.0,13
680,7,0.0,77
681,7,0.0,55
682,7,0.0,28
683,7,0.0,47
684,7,0.0,65
685,7,0.0,47
686,7,0.0,57
687,7,0.0,49
688,7,0.0,31
689,7,0.0,41
690,7,0.0,59
691,7,0.0,11
692,7,0.0,42
693,7,0.0,29
694,7,0.0,74
695,7,0.0,35
696,7,0.0,54
697,7,0.0,27
698,7,0.0,48
699,7,0.0,75
700,7,0.0,14
701,7,0.0,21
702,7,0.0,71
703,7,0.0,70
704,7,0.0,43
705,7,0.0,45
706,7,0.0,47
707,7,0.0,63
708,7,0.0,18
709,7,0.0,25
710,7,0.0,49
711,7,0.0,12
712,7,0.0,91
713,7,0.0,12
714,7,0.0,35
715,7,0.0,54
716,7,0.0,46
717,7,0.0,35
718,7,0.0,63
719,7,0.0,5
720,7,0.0,8
721,7,0.0,27
722,7,0.0,29
723,7,0.0,43
724,7,0.0,20
725,7,0.0,17
726,7,0.0,28
727,7,0.0,39
728,7,0.0,48
729,7,0.0,32
730,7,0.0,77
731,7,0.0,14
732,7,0.0,66
733,7,0.0,65
734,7,0.0,56
735,7,0.0,52
736,7,0.0,22
737,7,0.0,29
738,7,0.0,17
739,7,0.0,53
740,7,0.0,78
741,7,0.0,71
742,7,0.0,29
743,7,0.0,35
744,7,0.0,10
745,7,0.0,26
746,7,0.0,26
747,7,0.0,55
748,7,0.0,96
749,7,0.0,84
750,7,0.0,46
751,7,0.0,14
752,7,0.0,33
753,7,0.0,41
754,7,0.0,54
755,7,0.0,65
756,7,0.0,63
757,7,0.0,68
758,7,0.0,37
759,7,0.0,53
760,7,0.0,104
761,7,0.0,46
762,7,0.0,52
763,7,0.0,49
764,7,0.0,73
765,7,0.0,28
766,7,0.0,61
767,7,0.0,45
768,7,0.0,42
769,7,0.0,16
770,7,0.0,86
771,7,0.0,51
772,7,0.0,37
773,7,0.0,6
774,7,0.0,9
775,7,0.0,26
776,7,0.0,62
777,7,0.0,37
778,7,0.0,59
779,7,0.0,36
780,7,0.0,11
781,7,0.0,42
782,7,0.0,54
783,7,0.0,26
784,7,0.0,34
785,7,0.0,47
786,7,0.0,42
787,7,0.0,18
788,7,0.0,16
789,7,0.0,10
790,7,0.0,40
791,7,0.0,44
792,7,0.0,15
793,7,0.0,37
794,7,0.0,59
795,7,0.0,35
796,7,0.0,21
797,7,0.0,56
798,7,0.0,63
799,7,0.0,17
800,7,0.0,17
801,7,0.0,67
802,7,0.0,38
803,7,0.0,25
804,7,0.0,15
805,7,0.0,41
806,7,0.0,24
807,7,0.0,97
808,7,0.0,36
809,7,0.0,24
810,7,0.0,43
811,7,0.0,34
812,7,0.0,51
813,7,0.0,70
814,7,0.0,55
815,7,0.0,29
816,7,0.0,7
817,7,0.0,6
818,7,0.0,51
819,7,0.0,39
820,7,0.0,57
821,7,0.0,54
822,7,0.0,25
823,7,0.0,21
824,7,0.0,27
825,7,0.0,86
826,7,0.0,36
827,7,0.0,18
828,7,0.0,65
829,7,0.0,52
830,7,0.0,28
831,7,0.0,12
832,7,0.0,19
833,7,0.0,48
834,7,0.0,60
835,7,0.0,57
836,7,0.0,31
837,7,0.0,16
838,7,0.0,49
839,7,0.0,38
840,7,0.0,31
841,7,0.0,39
842,7,0.0,29
843,7,0.0,79
844,7,0.0,67
845,7,0.0,53
846,7,0.0,45
847,7,0.0,64
848,7,0.0,56
849,7,0.0,43
850,7,0.0,66
851,7,0.0,51
852,7,0.0,45
853,7,0.0,33
854,7,0.0,35
855,7,0.0,55
856,7,0.0,87
857,7,0.0,65
858,7,0.0,37
859,7,0.0,38
860,7,0.0,48
861,7,0.0,36
862,7,0.0,54
863,7,0.0,43
864,7,0.0,26
865,7,0.0,75
