alg,path_len,visited_points,queue_rest_size,time_ms,N
astar,11,31,20,0.13899803161621094,57
castar,11,31,20,0.1239776611328125,57
hastar,4,65,57,0.5917549133300781,57
astar,14,39,25,0.18596649169921875,58
castar,14,39,25,0.1671314239501953,58
hastar,4,83,72,0.7171630859375,58
astar,20,57,37,0.2429485321044922,59
castar,20,57,37,0.22602081298828125,59
hastar,6,51,45,0.3838539123535156,59
astar,7,30,14,0.1678466796875,60
castar,7,19,12,0.0782012939453125,60
hastar,5,89,73,0.9946823120117188,60
astar,15,31,16,0.17905235290527344,61
castar,15,31,16,0.15020370483398438,61
hastar,4,26,22,0.21386146545410156,61
astar,8,23,15,0.10824203491210938,62
castar,8,23,15,0.09107589721679688,62
hastar,4,30,26,0.22292137145996094,62
astar,7,20,13,0.102996826171875,63
castar,7,20,13,0.11515617370605469,63
hastar,3,57,50,0.4298686981201172,63
astar,3,8,5,0.046253204345703125,64
castar,3,8,5,0.03504753112792969,64
hastar,2,21,18,0.15115737915039062,64
astar,18,40,22,0.1900196075439453,65
castar,18,40,22,0.22125244140625,65
hastar,6,67,57,0.5819797515869141,65
astar,26,64,38,0.40793418884277344,66
castar,26,64,38,0.32210350036621094,66
hastar,6,85,69,0.7948875427246094,66
astar,4,11,5,0.06794929504394531,67
castar,4,9,5,0.04315376281738281,67
hastar,3,41,35,0.31685829162597656,67
astar,5,14,9,0.08106231689453125,68
castar,5,14,9,0.0629425048828125,68
hastar,2,41,36,0.3261566162109375,68
astar,9,36,17,0.19693374633789062,69
castar,9,25,16,0.09989738464355469,69
hastar,5,114,102,1.0881423950195312,69
astar,14,39,25,0.17309188842773438,70
castar,14,39,25,0.1537799835205078,70
hastar,6,80,70,0.6358623504638672,70
astar,10,36,19,0.209808349609375,71
castar,10,28,18,0.1201629638671875,71
hastar,3,112,102,1.0838508605957031,71
astar,23,144,31,0.9946823120117188,72
castar,23,59,36,0.24080276489257812,72
hastar,8,256,150,4.371166229248047,72
astar,16,80,31,0.5259513854980469,73
castar,16,46,30,0.21600723266601562,73
hastar,5,208,183,2.544879913330078,73
astar,19,54,35,0.2770423889160156,74
castar,19,54,35,0.21600723266601562,74
hastar,5,69,60,0.5509853363037109,74
astar,5,18,10,0.09703636169433594,75
castar,5,14,9,0.05602836608886719,75
hastar,4,54,46,0.55694580078125,75
astar,10,36,19,0.19097328186035156,76
castar,10,28,18,0.11205673217773438,76
hastar,5,104,96,0.9920597076416016,76
astar,24,188,38,1.4739036560058594,77
castar,24,69,45,0.3008842468261719,77
hastar,6,250,100,5.677938461303711,77
astar,18,52,34,0.2300739288330078,78
castar,18,52,34,0.2009868621826172,78
hastar,4,74,63,0.6880760192871094,78
astar,11,31,20,0.16498565673828125,79
castar,11,31,20,0.12969970703125,79
hastar,5,41,36,0.3478527069091797,79
astar,6,24,12,0.13589859008789062,80
castar,6,16,10,0.06794929504394531,80
hastar,4,86,74,0.7512569427490234,80
astar,7,19,12,0.16307830810546875,81
castar,7,19,12,0.08797645568847656,81
hastar,3,23,20,0.18787384033203125,81
astar,18,52,34,0.25391578674316406,82
castar,18,52,34,0.2491474151611328,82
hastar,4,68,57,0.6780624389648438,82
astar,7,19,12,0.1010894775390625,83
castar,7,19,12,0.08225440979003906,83
hastar,4,34,30,0.27370452880859375,83
astar,6,20,11,0.11515617370605469,84
castar,6,16,10,0.06985664367675781,84
hastar,4,70,64,0.6070137023925781,84
astar,17,106,34,0.7579326629638672,85
castar,17,49,32,0.1990795135498047,85
hastar,6,216,144,3.033161163330078,85
astar,3,8,5,0.0457763671875,86
castar,3,8,5,0.03504753112792969,86
hastar,3,25,22,0.17714500427246094,86
astar,15,85,30,0.6010532379150391,87
castar,15,43,28,0.17404556274414062,87
hastar,4,201,146,2.492189407348633,87
astar,12,52,19,0.3159046173095703,88
castar,12,33,21,0.1342296600341797,88
hastar,5,144,112,1.560211181640625,88
astar,12,35,23,0.1800060272216797,89
castar,12,35,23,0.14638900756835938,89
hastar,4,93,81,0.8530616760253906,89
astar,18,39,21,0.2377033233642578,90
castar,18,39,21,0.18095970153808594,90
hastar,5,34,29,0.2827644348144531,90
astar,5,14,9,0.07700920104980469,91
castar,5,14,9,0.05984306335449219,91
hastar,2,40,35,0.3650188446044922,91
astar,13,32,19,0.1652240753173828,92
castar,13,32,19,0.141143798828125,92
hastar,3,19,16,0.1621246337890625,92
astar,12,66,24,0.492095947265625,93
castar,12,34,22,0.14209747314453125,93
hastar,5,166,124,1.9609928131103516,93
astar,6,20,10,0.13780593872070312,94
castar,6,14,8,0.07224082946777344,94
hastar,3,71,61,0.6589889526367188,94
astar,17,86,21,0.6248950958251953,95
castar,17,48,31,0.22292137145996094,95
hastar,4,183,118,2.6760101318359375,95
astar,6,12,6,0.06818771362304688,96
castar,6,12,6,0.05817413330078125,96
hastar,3,36,30,0.3120899200439453,96
astar,9,38,17,0.2391338348388672,97
castar,9,25,16,0.10895729064941406,97
hastar,3,116,102,1.277923583984375,97
astar,5,19,10,0.1239776611328125,98
castar,5,13,8,0.05984306335449219,98
hastar,3,67,58,0.5888938903808594,98
astar,4,11,7,0.06794929504394531,99
castar,4,11,7,0.046253204345703125,99
hastar,3,25,22,0.18286705017089844,99
astar,10,41,19,0.2510547637939453,100
castar,10,28,18,0.12111663818359375,100
hastar,5,118,110,1.3246536254882812,100
astar,9,42,18,0.30422210693359375,101
castar,9,25,16,0.11181831359863281,101
hastar,5,117,93,1.1799335479736328,101
astar,20,130,33,0.8597373962402344,102
castar,20,57,37,0.2238750457763672,102
hastar,8,51,43,0.41866302490234375,102
astar,11,54,22,0.3170967102050781,103
castar,11,31,20,0.1220703125,103
hastar,6,158,126,1.6231536865234375,103
astar,3,7,4,0.051975250244140625,104
castar,3,7,4,0.03504753112792969,104
hastar,3,17,14,0.15211105346679688,104
astar,25,175,16,1.483917236328125,105
castar,25,62,37,0.2999305725097656,105
hastar,9,56,43,0.5931854248046875,105
astar,10,28,18,0.14472007751464844,106
castar,10,28,18,0.12183189392089844,106
hastar,6,37,31,0.32901763916015625,106
astar,7,15,8,0.08106231689453125,107
castar,7,15,8,0.06818771362304688,107
hastar,4,26,22,0.2040863037109375,107
astar,15,42,27,0.1800060272216797,108
castar,15,42,27,0.17189979553222656,108
hastar,7,123,126,1.750946044921875,108
astar,10,31,17,0.16808509826660156,109
castar,10,27,17,0.11682510375976562,109
hastar,5,36,31,0.32830238342285156,109
astar,7,26,13,0.1652240753173828,110
castar,7,19,12,0.1289844512939453,110
hastar,3,46,39,0.6241798400878906,110
astar,19,123,35,0.865936279296875,111
castar,19,55,36,0.2167224884033203,111
hastar,8,58,50,0.4639625549316406,111
astar,19,138,38,0.972747802734375,112
castar,19,55,36,0.21600723266601562,112
hastar,5,220,120,3.8788318634033203,112
astar,14,40,26,0.2090930938720703,113
castar,14,40,26,0.17189979553222656,113
hastar,4,54,47,0.45299530029296875,113
astar,9,26,10,0.16498565673828125,114
castar,9,18,9,0.08606910705566406,114
hastar,5,67,54,0.7102489471435547,114
astar,17,97,24,0.6339550018310547,115
castar,17,48,31,0.19216537475585938,115
hastar,6,200,128,2.904176712036133,115
astar,3,8,5,0.052928924560546875,116
castar,3,8,5,0.0362396240234375,116
hastar,2,22,19,0.1800060272216797,116
astar,7,18,11,0.09489059448242188,117
castar,7,18,11,0.07867813110351562,117
hastar,6,23,17,0.26679039001464844,117
astar,5,14,9,0.07605552673339844,118
castar,5,14,9,0.0629425048828125,118
hastar,4,32,28,0.25582313537597656,118
astar,17,86,30,0.6012916564941406,119
castar,17,48,31,0.20265579223632812,119
hastar,6,94,80,0.8661746978759766,119
astar,17,103,34,0.7181167602539062,120
castar,17,49,32,0.19693374633789062,120
hastar,7,46,39,0.39005279541015625,120
astar,15,74,29,0.4711151123046875,121
castar,15,43,28,0.21409988403320312,121
hastar,6,163,138,2.2580623626708984,121
astar,12,33,21,0.15783309936523438,122
castar,12,33,21,0.13303756713867188,122
hastar,6,37,31,0.3120899200439453,122
astar,8,28,14,0.15091896057128906,123
castar,8,22,14,0.0896453857421875,123
hastar,4,46,39,0.40984153747558594,123
astar,10,34,11,0.2372264862060547,124
castar,10,24,14,0.11706352233886719,124
hastar,5,43,33,0.4467964172363281,124
astar,7,20,13,0.1437664031982422,125
castar,7,20,13,0.07772445678710938,125
hastar,4,34,30,0.2429485321044922,125
astar,9,24,15,0.14901161193847656,126
castar,9,24,15,0.11014938354492188,126
hastar,4,30,25,0.26297569274902344,126
astar,14,40,26,0.1850128173828125,127
castar,14,40,26,0.1709461212158203,127
hastar,4,33,29,0.25582313537597656,127
astar,8,31,15,0.17309188842773438,128
castar,8,22,14,0.09512901306152344,128
hastar,4,80,72,0.8819103240966797,128
astar,16,40,24,0.186920166015625,129
castar,16,40,24,0.1652240753173828,129
hastar,6,100,98,1.0929107666015625,129
astar,15,71,25,0.4951953887939453,130
castar,15,51,32,0.29277801513671875,130
hastar,6,38,32,0.32401084899902344,130
astar,8,22,14,0.10132789611816406,131
castar,8,22,14,0.09012222290039062,131
hastar,4,47,40,0.3857612609863281,131
astar,8,27,14,0.18095970153808594,132
castar,8,21,13,0.09870529174804688,132
hastar,6,39,33,0.3566741943359375,132
astar,13,58,13,0.46515464782714844,133
castar,13,36,23,0.15020370483398438,133
hastar,6,143,102,1.750946044921875,133
astar,21,60,39,0.25200843811035156,134
castar,21,60,39,0.23293495178222656,134
hastar,7,132,128,1.3580322265625,134
astar,5,13,8,0.06508827209472656,135
castar,5,13,8,0.05602836608886719,135
hastar,2,12,10,0.11396408081054688,135
astar,3,8,5,0.051975250244140625,136
castar,3,8,5,0.03719329833984375,136
hastar,3,22,19,0.1881122589111328,136
astar,14,61,16,0.4630088806152344,137
castar,14,31,17,0.148773193359375,137
hastar,5,31,26,0.26607513427734375,137
astar,10,45,19,0.26297569274902344,138
castar,10,28,18,0.11873245239257812,138
hastar,4,135,126,1.5370845794677734,138
astar,15,43,28,0.2391338348388672,139
castar,15,43,28,0.17905235290527344,139
hastar,7,48,40,0.4410743713378906,139
astar,8,36,16,0.2219676971435547,140
castar,8,22,14,0.09870529174804688,140
hastar,4,25,21,0.2429485321044922,140
astar,16,39,23,0.20194053649902344,141
castar,16,39,23,0.17213821411132812,141
hastar,6,55,45,0.5428791046142578,141
astar,10,27,17,0.13208389282226562,142
castar,10,27,17,0.15401840209960938,142
hastar,6,41,35,0.3421306610107422,142
astar,4,14,8,0.09202957153320312,143
castar,4,10,6,0.04696846008300781,143
hastar,3,34,28,0.3108978271484375,143
astar,18,46,28,0.24700164794921875,144
castar,18,46,28,0.19407272338867188,144
hastar,6,41,35,0.3039836883544922,144
astar,9,24,15,0.13899803161621094,145
castar,9,24,15,0.14901161193847656,145
hastar,5,31,26,0.2741813659667969,145
astar,2,5,3,0.03314018249511719,146
castar,2,5,3,0.024080276489257812,146
hastar,2,14,12,0.10514259338378906,146
astar,15,38,23,0.17690658569335938,147
castar,15,38,23,0.15807151794433594,147
hastar,8,51,43,0.4742145538330078,147
astar,10,29,19,0.1430511474609375,148
castar,10,29,19,0.12302398681640625,148
hastar,3,22,19,0.17118453979492188,148
astar,22,157,46,1.0418891906738281,149
castar,22,62,40,0.2503395080566406,149
hastar,11,60,49,0.5381107330322266,149
astar,12,33,21,0.148773193359375,150
castar,12,33,21,0.13375282287597656,150
hastar,5,37,32,0.29277801513671875,150
astar,17,48,31,0.21505355834960938,151
castar,17,48,31,0.19598007202148438,151
hastar,6,39,33,0.3790855407714844,151
astar,9,30,15,0.19693374633789062,152
castar,9,23,14,0.10395050048828125,152
hastar,4,100,93,1.1200904846191406,152
astar,9,42,18,0.2892017364501953,153
castar,9,25,16,0.16736984252929688,153
hastar,5,82,69,0.8778572082519531,153
astar,16,47,29,0.2818107604980469,154
castar,16,47,29,0.2911090850830078,154
hastar,8,146,159,2.0978450775146484,154
astar,12,33,21,0.1499652862548828,155
castar,12,33,21,0.1361370086669922,155
hastar,5,42,36,0.3440380096435547,155
astar,8,28,15,0.1709461212158203,156
castar,8,28,18,0.14781951904296875,156
hastar,4,27,23,0.2617835998535156,156
astar,17,62,31,0.3535747528076172,157
castar,17,47,30,0.18906593322753906,157
hastar,5,182,161,1.7311573028564453,157
astar,6,16,10,0.08678436279296875,158
castar,6,16,10,0.06890296936035156,158
hastar,4,23,19,0.20503997802734375,158
astar,14,47,25,0.2720355987548828,159
castar,14,39,25,0.16689300537109375,159
hastar,7,94,88,0.9958744049072266,159
astar,12,35,23,0.1590251922607422,160
castar,12,35,23,0.14591217041015625,160
hastar,7,79,72,0.820159912109375,160
astar,17,86,32,0.5071163177490234,161
castar,17,49,32,0.2429485321044922,161
hastar,8,62,51,0.5931854248046875,161
astar,6,20,11,0.10514259338378906,162
castar,6,16,10,0.06914138793945312,162
hastar,4,40,35,0.347137451171875,162
astar,15,46,26,0.2498626708984375,163
castar,15,41,26,0.2090930938720703,163
hastar,7,60,50,0.5087852478027344,163
astar,13,69,21,0.4868507385253906,164
castar,13,32,19,0.14090538024902344,164
hastar,6,167,119,2.089977264404297,164
astar,10,35,17,0.1971721649169922,165
castar,10,28,18,0.11992454528808594,165
hastar,5,71,62,0.6160736083984375,165
astar,19,65,44,0.3428459167480469,166
castar,19,65,44,0.31185150146484375,166
hastar,9,170,200,3.808736801147461,166
astar,2,4,2,0.029802322387695312,167
castar,2,4,2,0.0209808349609375,167
hastar,2,11,9,0.07987022399902344,167
astar,15,43,28,0.2129077911376953,168
castar,15,43,28,0.17976760864257812,168
hastar,7,56,49,0.4811286926269531,168
astar,5,14,9,0.07009506225585938,169
castar,5,14,9,0.05698204040527344,169
hastar,4,20,16,0.17118453979492188,169
astar,11,46,17,0.2827644348144531,170
castar,11,30,19,0.1201629638671875,170
hastar,5,95,80,0.8769035339355469,170
astar,11,31,20,0.14710426330566406,171
castar,11,31,20,0.13113021850585938,171
hastar,5,63,55,0.5424022674560547,171
astar,17,95,18,0.67901611328125,172
castar,17,43,26,0.18095970153808594,172
hastar,5,200,123,3.0269622802734375,172
astar,10,41,16,0.2391338348388672,173
castar,10,27,15,0.12230873107910156,173
hastar,5,38,32,0.30612945556640625,173
astar,15,43,28,0.18835067749023438,174
castar,15,43,28,0.17595291137695312,174
hastar,5,39,34,0.31113624572753906,174
astar,10,38,20,0.19812583923339844,175
castar,10,29,19,0.11801719665527344,175
hastar,3,78,67,0.6608963012695312,175
astar,11,28,17,0.14472007751464844,176
castar,11,28,17,0.12111663818359375,176
hastar,6,53,46,0.42819976806640625,176
astar,19,115,33,0.7882118225097656,177
castar,19,50,31,0.2129077911376953,177
hastar,6,43,37,0.33402442932128906,177
astar,11,31,20,0.1308917999267578,178
castar,11,31,20,0.1220703125,178
hastar,6,39,33,0.39505958557128906,178
astar,12,60,22,0.4372596740722656,179
castar,12,33,21,0.13899803161621094,179
hastar,5,56,47,0.4889965057373047,179
astar,12,42,21,0.21409988403320312,180
castar,12,32,20,0.13399124145507812,180
hastar,5,54,48,0.4210472106933594,180
astar,8,22,14,0.1010894775390625,181
castar,8,22,14,0.08797645568847656,181
hastar,4,60,53,0.4799365997314453,181
astar,10,28,18,0.15282630920410156,182
castar,10,28,18,0.15807151794433594,182
hastar,5,34,29,0.28204917907714844,182
astar,11,42,22,0.2949237823486328,183
castar,11,31,20,0.14591217041015625,183
hastar,4,36,31,0.2918243408203125,183
astar,7,24,13,0.1289844512939453,184
castar,7,19,12,0.08606910705566406,184
hastar,3,56,49,0.6158351898193359,184
astar,8,22,14,0.102996826171875,185
castar,8,22,14,0.08821487426757812,185
hastar,4,30,26,0.23508071899414062,185
astar,9,41,18,0.24390220642089844,186
castar,9,24,15,0.1049041748046875,186
hastar,6,46,40,0.3840923309326172,186
astar,3,8,5,0.051021575927734375,187
castar,3,8,5,0.03790855407714844,187
hastar,3,22,19,0.17309188842773438,187
astar,21,132,20,1.0380744934082031,188
castar,21,52,31,0.23293495178222656,188
hastar,7,151,102,2.048015594482422,188
astar,7,26,13,0.1659393310546875,189
castar,7,19,12,0.11587142944335938,189
hastar,3,23,20,0.1919269561767578,189
astar,6,16,7,0.10585784912109375,190
castar,6,12,6,0.06008148193359375,190
hastar,4,52,46,0.5130767822265625,190
astar,4,11,7,0.06103515625,191
castar,4,11,7,0.04792213439941406,191
hastar,3,23,20,0.1690387725830078,191
astar,10,43,20,0.2872943878173828,192
castar,10,27,17,0.17571449279785156,192
hastar,5,48,40,0.40984153747558594,192
astar,5,13,8,0.07772445678710938,193
castar,5,13,8,0.0629425048828125,193
hastar,4,29,25,0.24509429931640625,193
astar,11,57,22,0.39505958557128906,194
castar,11,31,20,0.13589859008789062,194
hastar,4,142,107,1.7549991607666016,194
astar,12,51,23,0.3120899200439453,195
castar,12,34,22,0.14710426330566406,195
hastar,4,41,36,0.32901763916015625,195
astar,18,49,31,0.22411346435546875,196
castar,18,49,31,0.20694732666015625,196
hastar,6,42,36,0.39505958557128906,196
astar,17,76,31,0.4849433898925781,197
castar,17,48,31,0.19311904907226562,197
hastar,6,74,64,0.6120204925537109,197
astar,14,52,26,0.35190582275390625,198
castar,14,38,24,0.1671314239501953,198
hastar,4,74,63,0.7040500640869141,198
astar,4,14,8,0.08082389831542969,199
castar,4,11,7,0.04792213439941406,199
hastar,3,38,32,0.35881996154785156,199
astar,20,57,37,0.23698806762695312,200
castar,20,57,37,0.22983551025390625,200
hastar,6,47,41,0.3609657287597656,200
astar,8,23,15,0.11491775512695312,201
castar,8,23,15,0.1289844512939453,201
hastar,4,30,25,0.2665519714355469,201
astar,8,34,15,0.20074844360351562,202
castar,8,22,13,0.09441375732421875,202
hastar,5,28,23,0.2429485321044922,202
astar,5,17,9,0.09107589721679688,203
castar,5,14,9,0.0591278076171875,203
hastar,4,30,26,0.2498626708984375,203
astar,14,78,22,0.5381107330322266,204
castar,14,40,26,0.16188621520996094,204
hastar,6,68,54,0.7011890411376953,204
astar,6,15,9,0.07510185241699219,205
castar,6,15,9,0.06628036499023438,205
hastar,4,39,32,0.4801750183105469,205
astar,12,51,23,0.3108978271484375,206
castar,12,34,22,0.1590251922607422,206
hastar,4,30,26,0.24175643920898438,206
astar,10,37,19,0.20623207092285156,207
castar,10,28,18,0.11897087097167969,207
hastar,6,63,46,0.6709098815917969,207
astar,6,17,11,0.08606910705566406,208
castar,6,17,11,0.07295608520507812,208
hastar,3,20,17,0.1571178436279297,208
astar,23,67,44,0.30493736267089844,209
castar,23,67,44,0.2751350402832031,209
hastar,9,62,53,0.5140304565429688,209
astar,19,113,29,0.7579326629638672,210
castar,19,54,35,0.225067138671875,210
hastar,7,91,82,0.8499622344970703,210
astar,9,32,11,0.2307891845703125,211
castar,9,19,10,0.09608268737792969,211
hastar,5,32,27,0.3249645233154297,211
astar,12,56,23,0.3502368927001953,212
castar,12,34,22,0.14400482177734375,212
hastar,6,41,34,0.39005279541015625,212
astar,16,37,21,0.1709461212158203,213
castar,16,37,21,0.15687942504882812,213
hastar,6,40,34,0.3228187561035156,213
astar,5,13,8,0.09703636169433594,214
castar,5,13,8,0.057697296142578125,214
hastar,3,24,21,0.17404556274414062,214
astar,9,38,13,0.2796649932861328,215
castar,9,20,11,0.1068115234375,215
hastar,3,14,11,0.12373924255371094,215
astar,10,28,18,0.18715858459472656,216
castar,10,28,18,0.11801719665527344,216
hastar,5,32,27,0.26798248291015625,216
astar,11,29,17,0.13685226440429688,217
castar,11,29,17,0.17905235290527344,217
hastar,4,22,18,0.2028942108154297,217
astar,10,28,18,0.1327991485595703,218
castar,10,28,18,0.11515617370605469,218
hastar,4,28,24,0.22602081298828125,218
astar,11,32,21,0.1518726348876953,219
castar,11,32,21,0.1583099365234375,219
hastar,4,28,24,0.23794174194335938,219
astar,8,28,15,0.15306472778320312,220
castar,8,22,14,0.09512901306152344,220
hastar,5,36,31,0.3299713134765625,220
astar,11,21,10,0.12803077697753906,221
castar,11,21,10,0.1049041748046875,221
hastar,5,24,19,0.2391338348388672,221
astar,8,31,15,0.17905235290527344,222
castar,8,22,14,0.09393692016601562,222
hastar,4,26,22,0.21791458129882812,222
astar,9,32,15,0.19407272338867188,223
castar,9,24,15,0.10514259338378906,223
hastar,5,85,70,0.9002685546875,223
astar,26,217,40,1.6219615936279297,224
castar,26,64,38,0.2720355987548828,224
hastar,9,55,46,0.46706199645996094,224
astar,9,36,17,0.21314620971679688,225
castar,9,25,16,0.10800361633300781,225
hastar,4,42,35,0.4258155822753906,225
astar,11,25,14,0.13113021850585938,226
castar,11,25,14,0.1163482666015625,226
hastar,5,34,29,0.28896331787109375,226
astar,24,190,38,1.3089179992675781,227
castar,24,60,36,0.24580955505371094,227
hastar,7,52,44,0.4253387451171875,227
astar,10,38,20,0.209808349609375,228
castar,10,28,18,0.14591217041015625,228
hastar,4,27,23,0.2040863037109375,228
astar,5,18,10,0.10991096496582031,229
castar,5,14,9,0.06079673767089844,229
hastar,4,39,32,0.36787986755371094,229
